iter	Passed	Remaining
690	10385	7649
691	10401	7635
692	10415	7619
693	10428	7603
694	10442	7587
695	10455	7571
696	10468	7554
697	10484	7540
698	10498	7524
699	10512	7509
700	10530	7495
701	10547	7482
702	10561	7466
703	10574	7450
704	10590	7435
705	10603	7419
706	10618	7404
707	10632	7388
708	10646	7373
709	10661	7358
710	10675	7342
711	10690	7327
712	10707	7313
713	10722	7298
714	10740	7285
715	10759	7273
716	10776	7259
717	10798	7248
718	10819	7238
719	10836	7224
720	10852	7210
721	10869	7196
722	10887	7182
723	10904	7168
724	10921	7155
725	10938	7141
726	10954	7127
727	10971	7113
728	10987	7098
729	11009	7088
730	11026	7074
731	11044	7060
732	11060	7046
733	11073	7030
734	11086	7014
735	11103	6999
736	11117	6984
737	11134	6970
738	11151	6956
739	11168	6942
740	11183	6927
741	11197	6911
742	11214	6897
743	11228	6882
744	11245	6867
745	11263	6854
746	11279	6839
747	11294	6825
748	11308	6809
749	11324	6794
750	11339	6779
751	11356	6765
752	11371	6750
753	11389	6736
754	11408	6723
755	11424	6709
756	11442	6696
757	11458	6681
758	11471	6665
759	11485	6649
760	11499	6633
761	11515	6619
762	11532	6605
763	11547	6590
764	11564	6576
765	11579	6560
766	11594	6545
767	11608	6529
768	11622	6514
769	11636	6498
770	11653	6484
771	11667	6468
772	11683	6453
773	11696	6437
774	11711	6422
775	11726	6407
776	11739	6391
777	11755	6376
778	11770	6361
779	11786	6346
780	11801	6331
781	11816	6316
782	11830	6300
783	11845	6285
784	11861	6270
785	11877	6256
786	11891	6240
787	11905	6224
788	11920	6209
789	11933	6193
790	11948	6178
791	11962	6162
792	11979	6148
793	11994	6133
794	12009	6118
795	12024	6103
796	12040	6088
797	12054	6072
798	12071	6058
799	12087	6043
800	12100	6027
801	12113	6011
802	12128	5996
803	12143	5981
804	12159	5966
805	12175	5952
806	12191	5937
807	12207	5922
808	12220	5906
809	12235	5891
810	12251	5876
811	12270	5863
812	12288	5849
813	12302	5834
814	12316	5818
815	12330	5802
816	12344	5786
817	12357	5770
818	12371	5755
819	12388	5741
820	12403	5725
821	12417	5710
822	12431	5694
823	12445	5678
824	12459	5663
825	12472	5647
826	12488	5632
827	12505	5618
828	12521	5603
829	12537	5588
830	12551	5573
831	12564	5557
832	12577	5541
833	12592	5526
834	12608	5511
835	12628	5498
836	12642	5483
837	12656	5467
838	12672	5452
839	12685	5436
840	12701	5422
841	12717	5407
842	12735	5393
843	12748	5377
844	12763	5362
845	12778	5346
846	12792	5331
847	12810	5317
848	12826	5302
849	12840	5287
850	12854	5271
851	12868	5256
852	12882	5240
853	12895	5224
854	12911	5209
855	12926	5194
856	12941	5179
857	12954	5163
858	12968	5148
859	12986	5134
860	13001	5119
861	13017	5104
862	13032	5089
863	13049	5074
864	13062	5059
865	13076	5043
866	13093	5028
867	13108	5013
868	13123	4998
869	13139	4984
870	13154	4968
871	13168	4953
872	13184	4938
873	13200	4923
874	13219	4910
875	13237	4895
876	13251	4880
877	13265	4865
878	13280	4849
879	13294	4834
880	13308	4818
881	13322	4803
882	13337	4788
883	13351	4772
884	13365	4757
885	13380	4742
886	13395	4727
887	13409	4711
888	13422	4695
889	13437	4680
890	13453	4665
891	13467	4650
892	13482	4635
893	13498	4620
894	13514	4605
895	13529	4590
896	13544	4575
897	13558	4559
898	13574	4544
899	13589	4529
900	13602	4514
901	13615	4498
902	13629	4482
903	13644	4467
904	13659	4452
905	13675	4437
906	13688	4422
907	13701	4406
908	13716	4391
909	13729	4375
910	13745	4360
911	13759	4345
912	13774	4329
913	13787	4314
914	13801	4298
915	13815	4283
916	13829	4268
917	13844	4252
918	13861	4238
919	13877	4223
920	13893	4208
921	13910	4194
922	13925	4179
923	13938	4163
924	13954	4148
925	13970	4133
926	13983	4118
927	13997	4102
928	14014	4088
929	14028	4072
930	14042	4057
931	14059	4042
932	14077	4028
933	14090	4012
934	14108	3998
935	14121	3982
936	14140	3968
937	14157	3954
938	14173	3939
939	14189	3924
940	14202	3909
941	14215	3893
942	14229	3878
943	14243	3862
944	14258	3847
945	14274	3832
946	14289	3817
947	14306	3802
948	14318	3787
949	14333	3771
950	14346	3756
951	14359	3740
952	14374	3725
953	14387	3710
954	14402	3694
955	14418	3680
956	14433	3664
957	14445	3649
958	14458	3633
959	14474	3618
960	14492	3604
961	14509	3589
962	14523	3574
963	14538	3559
964	14552	3543
965	14569	3529
966	14584	3514
967	14597	3498
968	14610	3482
969	14625	3467
970	14641	3452
971	14656	3437
972	14672	3423
973	14687	3407
974	14703	3393
975	14718	3378
976	14733	3363
977	14748	3347
978	14762	3332
979	14778	3317
980	14795	3302
981	14810	3287
982	14826	3272
983	14838	3257
984	14852	3241
985	14865	3226
986	14879	3211
987	14897	3196
988	14914	3182
989	14929	3166
990	14942	3151
991	14957	3136
992	14971	3120
993	14986	3105
994	15003	3091
995	15016	3075
996	15030	3060
997	15042	3044
998	15055	3029
999	15070	3014
1000	15083	2998
1001	15099	2983
1002	15114	2968
1003	15128	2953
1004	15142	2938
1005	15157	2922
1006	15169	2907
1007	15184	2892
1008	15198	2876
1009	15213	2861
1010	15229	2847
1011	15244	2831
1012	15261	2817
1013	15281	2803
1014	15295	2787
1015	15311	2772
1016	15326	2757
1017	15340	2742
1018	15353	2727
1019	15367	2711
1020	15386	2697
1021	15404	2682
1022	15419	2667
1023	15432	2652
1024	15448	2637
1025	15461	2622
1026	15476	2606
1027	15491	2592
1028	15510	2577
1029	15526	2562
1030	15541	2547
1031	15555	2532
1032	15571	2517
1033	15584	2502
1034	15598	2486
1035	15616	2472
1036	15630	2456
1037	15644	2441
1038	15657	2426
1039	15671	2411
1040	15685	2395
1041	15699	2380
1042	15713	2365
1043	15730	2350
1044	15746	2335
1045	15760	2320
1046	15775	2305
1047	15790	2290
1048	15803	2274
1049	15816	2259
1050	15832	2244
1051	15846	2229
1052	15860	2214
1053	15875	2199
1054	15888	2183
1055	15902	2168
1056	15916	2153
1057	15933	2138
1058	15950	2123
1059	15964	2108
1060	15977	2093
1061	15995	2078
1062	16012	2063
1063	16030	2049
1064	16045	2033
1065	16059	2018
1066	16074	2003
1067	16088	1988
1068	16102	1973
1069	16118	1958
1070	16133	1943
1071	16147	1928
1072	16161	1912
1073	16175	1897
1074	16188	1882
1075	16203	1867
1076	16216	1852
1077	16229	1836
1078	16244	1821
1079	16259	1806
1080	16273	1791
1081	16287	1776
1082	16302	1761
1083	16315	1745
1084	16330	1730
1085	16345	1715
1086	16361	1700
1087	16379	1686
1088	16393	1670
1089	16408	1655
1090	16422	1640
1091	16436	1625
1092	16451	1610
1093	16467	1595
1094	16480	1580
1095	16497	1565
1096	16511	1550
1097	16524	1535
1098	16538	1519
1099	16556	1505
1100	16572	1490
1101	16586	1475
1102	16600	1459
1103	16615	1444
1104	16630	1429
1105	16643	1414
1106	16664	1399
1107	16681	1385
1108	16699	1370
1109	16715	1355
1110	16731	1340
1111	16748	1325
1112	16765	1310
1113	16781	1295
1114	16795	1280
1115	16808	1265
1116	16823	1250
1117	16839	1235
1118	16853	1219
1119	16867	1204
1120	16884	1189
1121	16899	1174
1122	16912	1159
1123	16927	1144
1124	16940	1129
1125	16954	1114
1126	16972	1099
